location_code,id
G09-3R,83904
G09-4R,83905
G10-1L,83906
G10-2L,83907
G10-3L,83908
G10-4L,83909
G10-1R,83910
G10-2R,83911
G10-3R,83912
G10-4R,83913
G11-1L,83914
G11-2L,83915
G11-3L,83916
G11-4L,83917
G11-1R,83918
G11-2R,83919
G11-3R,83920
G11-4R,83921
G12-1L,83922
G12-2L,83923
G12-3L,83924
G12-4L,83925
G12-1R,83926
G12-2R,83927
G12-3R,83928
G12-4R,83929
H01-1L,83930
H01-2L,83931
H01-3L,83932
H01-4L,83933
H01-1R,83934
H01-2R,83935
H01-3R,83936
H01-4R,83937
H02-1L,83938
H02-2L,83939
H02-3L,83940
H02-4L,83941
H02-1R,83942
H02-2R,83943
H02-3R,83944
H02-4R,83945
H03-1L,83946
H03-2L,83947
H03-3L,83948
H03-4L,83949
H03-1R,83950
H03-2R,83951
H03-3R,83952
H03-4R,83953
H04-1L,83954
H04-2L,83955
H04-3L,83956
H04-4L,83957
H04-1R,83958
H04-2R,83959
H04-3R,83960
H04-4R,83961
H05-1L,83962
H05-2L,83963
H05-3L,83964
H05-4L,83965
H05-1R,83966
H05-2R,83967
H05-3R,83968
H05-4R,83969
H06-1L,83970
H06-2L,83971
H06-3L,83972
H06-4L,83973
H06-1R,83974
H06-2R,83975
H06-3R,83976
H06-4R,83977
H07-1L,83978
H07-2L,83979
H07-3L,83980
H07-4L,83981
H07-1R,83982
H07-2R,83983
H07-3R,83984
H07-4R,83985
H08-1L,83986
H08-2L,83987
H08-3L,83988
H08-4L,83989
H08-1R,83990
H08-2R,83991
H08-3R,83992
H08-4R,83993
H09-1L,83994
H09-2L,83995
H09-3L,83996
H09-4L,83997
H09-1R,83998
H09-2R,83999
H09-3R,84000
H09-4R,84001
H10-1L,84002
H10-2L,84003
H10-3L,84004
H10-4L,84005
H10-1R,84006
H10-2R,84007
H10-3R,84008
H10-4R,84009
H11-1L,84010
H11-2L,84011
H11-3L,84012
H11-4L,84013
H11-1R,84014
H11-2R,84015
H11-3R,84016
H11-4R,84017
H12-1L,84018
H12-2L,84019
H12-3L,84020
H12-4L,84021
H12-1R,84022
H12-2R,84023
H12-3R,84024
H12-4R,84025
H13-1L,84026
H13-2L,84027
H13-3L,84028
H13-4L,84029
H13-1R,84030
H13-2R,84031
H13-3R,84032
H13-4R,84033
H14-1L,84034
H14-2L,84035
H14-3L,84036
H14-4L,84037
H14-1R,84038
H14-2R,84039
H14-3R,84040
H14-4R,84041
H15-1L,84042
H15-2L,84043
H15-3L,84044
H15-4L,84045
H15-1R,84046
H15-2R,84047
H15-3R,84048
H15-4R,84049
H16-1L,84050
H16-2L,84051
H16-3L,84052
H16-4L,84053
H16-1R,84054
H16-2R,84055
H16-3R,84056
H16-4R,84057
H17-1L,84058
H17-2L,84059
H17-3L,84060
H17-4L,84061
H17-1R,84062
H17-2R,84063
H17-3R,84064
H17-4R,84065
H18-1L,84066
H18-2L,84067
H18-3L,84068
H18-4L,84069
H18-1R,84070
H18-2R,84071
H18-3R,84072
H18-4R,84073
I01-1L,84074
I01-2L,84075
I01-3L,84076
I01-4L,84077
I01-1R,84078
I01-2R,84079
I01-3R,84080
I01-4R,84081
I02-1L,84082
I02-2L,84083
I02-3L,84084
I02-4L,84085
I02-1R,84086
I02-2R,84087
I02-3R,84088
I02-4R,84089
I03-1L,84090
I03-2L,84091
I03-3L,84092
I03-4L,84093
I03-1R,84094
I03-2R,84095
I03-3R,84096
I03-4R,84097
I04-1L,84098
I04-2L,84099
I04-3L,84100
I04-4L,84101
I04-1R,84102
I04-2R,84103
I04-3R,84104
I04-4R,84105
I05-1L,84106
I05-2L,84107
I05-3L,84108
I05-4L,84109
I05-1R,84110
I05-2R,84111
I05-3R,84112
I05-4R,84113
I06-1L,84114
I06-2L,84115
I06-3L,84116
I06-4L,84117
I06-1R,84118
I06-2R,84119
I06-3R,84120
I06-4R,84121
I07-1L,84122
I07-2L,84123
I07-3L,84124
I07-4L,84125
I07-1R,84126
I07-2R,84127
I07-3R,84128
I07-4R,84129
I08-1L,84130
I08-2L,84131
I08-3L,84132
I08-4L,84133
I08-1R,84134
I08-2R,84135
I08-3R,84136
I08-4R,84137
I09-1L,84138
I09-2L,84139
I09-3L,84140
I09-4L,84141
I09-1R,84142
I09-2R,84143
I09-3R,84144
I09-4R,84145
I10-1L,84146
I10-2L,84147
I10-3L,84148
I10-4L,84149
I10-1R,84150
I10-2R,84151
I10-3R,84152
I10-4R,84153
I11-1L,84154
I11-2L,84155
I11-3L,84156
I11-4L,84157
I11-1R,84158
I11-2R,84159
I11-3R,84160
I11-4R,84161
I12-1L,84162
I12-2L,84163
I12-3L,84164
I12-4L,84165
I12-1R,84166
I12-2R,84167
I12-3R,84168
I12-4R,84169
I13-1L,84170
I13-2L,84171
I13-3L,84172
I13-4L,84173
I13-1R,84174
I13-2R,84175
I13-3R,84176
I13-4R,84177
I14-1L,84178
I14-2L,84179
I14-3L,84180
I14-4L,84181
I14-1R,84182
I14-2R,84183
I14-3R,84184
I14-4R,84185
I15-1L,84186
I15-2L,84187
I15-3L,84188
I15-4L,84189
I15-1R,84190
I15-2R,84191
I15-3R,84192
I15-4R,84193
I16-1L,84194
I16-2L,84195
I16-3L,84196
I16-4L,84197
I16-1R,84198
I16-2R,84199
I16-3R,84200
I16-4R,84201
I17-1L,84202
I17-2L,84203
I17-3L,84204
I17-4L,84205
I17-1R,84206
I17-2R,84207
I17-3R,84208
I17-4R,84209
I18-1L,84210
I18-2L,84211
I18-3L,84212
I18-4L,84213
I18-1R,84214
I18-2R,84215
I18-3R,84216
I18-4R,84217
J01-1L,84218
J01-2L,84219
J01-3L,84220
J01-4L,84221
J01-1R,84222
J01-2R,84223
J01-3R,84224
J01-4R,84225
J02-1L,84226
J02-2L,84227
J02-3L,84228
J02-4L,84229
J02-1R,84230
J02-2R,84231
J02-3R,84232
J02-4R,84233
J03-1L,84234
J03-2L,84235
J03-3L,84236
J03-4L,84237
J03-1R,84238
J03-2R,84239
J03-3R,84240
J03-4R,84241
J04-1L,84242
J04-2L,84243
J04-3L,84244
J04-4L,84245
J04-1R,84246
J04-2R,84247
J04-3R,84248
J04-4R,84249
J05-1L,84250
J05-2L,84251
J05-3L,84252
J05-4L,84253
J05-1R,84254
J05-2R,84255
J05-3R,84256
J05-4R,84257
J06-1L,84258
J06-2L,84259
J06-3L,84260
J06-4L,84261
J06-1R,84262
J06-2R,84263
J06-3R,84264
J06-4R,84265
J07-1L,84266
J07-2L,84267
J07-3L,84268
J07-4L,84269
J07-1R,84270
J07-2R,84271
J07-3R,84272
J07-4R,84273
J08-1L,84274
J08-2L,84275
J08-3L,84276
J08-4L,84277
J08-1R,84278
J08-2R,84279
J08-3R,84280
J08-4R,84281
J09-1L,84282
J09-2L,84283
J09-3L,84284
J09-4L,84285
J09-1R,84286
J09-2R,84287
J09-3R,84288
J09-4R,84289
J10-1L,84290
J10-2L,84291
J10-3L,84292
J10-4L,84293
J10-1R,84294
J10-2R,84295
J10-3R,84296
J10-4R,84297
J11-1L,84298
J11-2L,84299
J11-3L,84300
J11-4L,84301
J11-1R,84302
J11-2R,84303
J11-3R,84304
J11-4R,84305
J12-1L,84306
J12-2L,84307
J12-3L,84308
J12-4L,84309
J12-1R,84310
J12-2R,84311
J12-3R,84312
J12-4R,84313
J13-1L,84314
J13-2L,84315
J13-3L,84316
J13-4L,84317
J13-1R,84318
J13-2R,84319
J13-3R,84320
J13-4R,84321
J14-1L,84322
J14-2L,84323
J14-3L,84324
J14-4L,84325
J14-1R,84326
J14-2R,84327
J14-3R,84328
J14-4R,84329
J15-1L,84330
J15-2L,84331
J15-3L,84332
J15-4L,84333
J15-1R,84334
J15-2R,84335
J15-3R,84336
J15-4R,84337
J16-1L,84338
J16-2L,84339
J16-3L,84340
J16-4L,84341
J16-1R,84342
J16-2R,84343
J16-3R,84344
J16-4R,84345
J17-1L,84346
J17-2L,84347
J17-3L,84348
J17-4L,84349
J17-1R,84350
J17-2R,84351
J17-3R,84352
J17-4R,84353
J18-1L,84354
J18-2L,84355
