Location,Barcode
E12-5R,51280
E12-6R,90305
E12-7R,90306
E13-1L,49601
E13-2L,49602
E13-3L,51281
E13-4L,51282
E13-5L,51283
E13-6L,90307
E13-7L,90308
E13-1R,49603
E13-2R,49604
E13-3R,51284
E13-4R,51285
E13-5R,51286
E13-6R,90309
E13-7R,90310
E14-1L,49605
E14-2L,49606
E14-3L,51287
E14-4L,51288
E14-5L,51289
E14-6L,90311
E14-7L,90312
E14-1R,49607
E14-2R,49608
E14-3R,51290
E14-4R,51291
E14-5R,51292
E14-6R,90313
E14-7R,90314
F06-1L,49641
F06-2L,49642
F06-3L,51341
F06-4L,51342
F06-5L,51343
F06-6L,90315
F06-7L,90316
F06-1R,49643
F06-2R,49644
F06-3R,51344
F06-4R,51345
F06-5R,51346
F06-6R,90317
F06-7R,90318
F07-1L,49637
F07-2L,49638
F07-3L,51335
F07-4L,51336
F07-5L,51337
F07-6L,90319
F07-7L,90320
F07-1R,49639
F07-2R,49640
F07-3R,51338
F07-4R,51339
F07-5R,51340
F07-6R,90321
F07-7R,90322
F08-1L,49633
F08-2L,49634
F08-3L,51329
F08-4L,51330
F08-5L,51331
F08-6L,90323
F08-7L,90324
F08-1R,49635
F08-2R,49636
F08-3R,51332
F08-4R,51333
F08-5R,51334
F08-6R,90325
F08-7R,90326
F09-1L,49629
F09-2L,49630
F09-3L,51323
F09-4L,51324
F09-5L,51325
F09-6L,90327
F09-7L,90328
F09-1R,49631
F09-2R,49632
F09-3R,51326
F09-4R,51327
F09-5R,51328
F09-6R,90329
F09-7R,90330
F10-1L,49625
F10-2L,49626
F10-3L,51317
F10-4L,51318
F10-5L,51319
F10-6L,90331
F10-7L,90332
F10-1R,49627
F10-2R,49628
F10-3R,51320
F10-4R,51321
F10-5R,51322
F10-6R,90333
F10-7R,90334
F11-1L,49621
F11-2L,49622
F11-3L,51311
F11-4L,51312
F11-5L,51313
F11-6L,90335
F11-7L,90336
F11-1R,49623
F11-2R,49624
F11-3R,51314
F11-4R,51315
F11-5R,51316
F11-6R,90337
F11-7R,90338
F12-1L,49617
F12-2L,49618
F12-3L,51305
F12-4L,51306
F12-5L,51307
F12-6L,90339
F12-7L,90340
F12-1R,49619
F12-2R,49620
F12-3R,51308
F12-4R,51309
F12-5R,51310
F12-6R,90341
F12-7R,90342
F13-1L,49613
F13-2L,49614
F13-3L,51299
F13-4L,51300
F13-5L,51301
F13-6L,90343
F13-7L,90344
F13-1R,49615
F13-2R,49616
F13-3R,51302
F13-4R,51303
F13-5R,51304
F13-6R,90345
F13-7R,90346
F14-1L,49609
F14-2L,49610
F14-3L,51293
F14-4L,51294
F14-5L,51295
F14-6L,90347
F14-7L,90348
F14-1R,49611
F14-2R,49612
F14-3R,51296
F14-4R,51297
F14-5R,51298
F14-6R,90349
F14-7R,90350
G06-1L,49685
G06-2L,49686
G06-3L,51407
G06-4L,51408
G06-5L,51409
G06-6L,90351
G06-7L,90352
G06-1R,49687
G06-2R,49688
G06-3R,51410
G06-4R,51411
G06-5R,51412
G06-6R,90353
G06-7R,90354
G07-1L,49689
G07-2L,49690
G07-3L,51413
G07-4L,51414
G07-5L,51415
G07-6L,90355
G07-7L,90356
G07-1R,49691
G07-2R,49692
G07-3R,51416
G07-4R,51417
G07-5R,51418
G07-6R,90357
G07-7R,90358
G08-1L,49693
G08-2L,49694
G08-3L,51419
G08-4L,51420
G08-5L,51421
G08-6L,90359
G08-7L,90360
G08-1R,49695
G08-2R,49696
G08-3R,51422
G08-4R,51423
G08-5R,51424
G08-6R,90361
G08-7R,90362
G09-1L,49697
G09-2L,49698
G09-3L,51425
G09-4L,51426
G09-5L,51427
G09-6L,90363
G09-7L,90364
G09-1R,49699
G09-2R,49700
G09-3R,51428
G09-4R,51429
G09-5R,51430
G09-6R,90365
G09-7R,90366
G10-1L,49701
G10-2L,49702
G10-3L,51431
G10-4L,51432
G10-5L,51433
G10-6L,90367
G10-7L,90368
G10-1R,49703
G10-2R,49704
G10-3R,51434
G10-4R,51435
G10-5R,51436
G10-6R,90369
G10-7R,90370
G11-1L,49705
G11-2L,49706
G11-3L,51437
G11-4L,51438
G11-5L,51439
G11-6L,90371
G11-7L,90372
G11-1R,49707
G11-2R,49708
G11-3R,51440
G11-4R,51441
G11-5R,51442
G11-6R,90373
G11-7R,90374
G12-1L,49709
G12-2L,49710
G12-3L,51443
G12-4L,51444
G12-5L,51445
G12-6L,90375
G12-7L,90376
G12-1R,49711
G12-2R,49712
G12-3R,51446
G12-4R,51447
G12-5R,51448
G12-6R,90377
G12-7R,90378
G13-1L,49713
G13-2L,49714
G13-3L,51449
G13-4L,51450
G13-5L,51451
G13-6L,90379
G13-7L,90380
G13-1R,49715
G13-2R,49716
G13-3R,51452
G13-4R,51453
G13-5R,51454
G13-6R,90381
G13-7R,90382
G14-1L,49717
G14-2L,49718
G14-3L,51455
G14-4L,51456
G14-5L,51457
G14-6L,90383
G14-7L,90384
G14-1R,49719
G14-2R,49720
G14-3R,51458
G14-4R,51459
G14-5R,51460
G14-6R,90385
G14-7R,90386
H06-1L,49753
H06-2L,49754
H06-3L,51509
H06-4L,51510
H06-5L,51511
H06-6L,90387
H06-7L,90388
H06-1R,49755
H06-2R,49756
H06-3R,51512
H06-4R,51513
H06-5R,51514
H06-6R,90389
H06-7R,90390
H07-1L,49749
H07-2L,49750
H07-3L,51503
H07-4L,51504
H07-5L,51505
H07-6L,90391
H07-7L,90392
H07-1R,49751
H07-2R,49752
H07-3R,51506
H07-4R,51507
H07-5R,51508
H07-6R,90393
H07-7R,90394
H08-1L,49745
H08-2L,49746
H08-3L,51497
H08-4L,51498
H08-5L,51499
H08-6L,90395
H08-7L,90396
H08-1R,49747
H08-2R,49748
H08-3R,51500
H08-4R,51501
H08-5R,51502
H08-6R,90397
H08-7R,90398
H09-1L,49741
H09-2L,49742
H09-3L,51491
H09-4L,51492
H09-5L,51493
H09-6L,90399
H09-7L,90400
H09-1R,49743
H09-2R,49744
H09-3R,51494
H09-4R,51495
H09-5R,51496
H09-6R,90401
H09-7R,90402
H10-1L,49737
H10-2L,49738
H10-3L,51485
H10-4L,51486
H10-5L,51487
H10-6L,90403
H10-7L,90404
H10-1R,49739
H10-2R,49740
H10-3R,51488
H10-4R,51489
H10-5R,51490
H10-6R,90405
H10-7R,90406
H11-1L,49733
H11-2L,49734
H11-3L,51479
H11-4L,51480
H11-5L,51481
H11-6L,90407
H11-7L,90408
H11-1R,49735
H11-2R,49736
H11-3R,51482
H11-4R,51483
H11-5R,51484
H11-6R,90409
H11-7R,90410
H12-1L,49729
H12-2L,49730
H12-3L,51473
H12-4L,51474
H12-5L,51475
H12-6L,90411
H12-7L,90412
H12-1R,49731
H12-2R,49732
H12-3R,51476
H12-4R,51477
H12-5R,51478
H12-6R,90413
H12-7R,90414
H13-1L,49725
H13-2L,49726
H13-3L,51467
H13-4L,51468
H13-5L,51469
H13-6L,90415
H13-7L,90416
H13-1R,49727
H13-2R,49728
H13-3R,51470
H13-4R,51471
H13-5R,51472
H13-6R,90417
H13-7R,90418
H14-1L,49721
H14-2L,49722
H14-3L,51461
H14-4L,51462
H14-5L,51463
H14-6L,90419
H14-7L,90420
H14-1R,49723
H14-2R,49724
H14-3R,51464
H14-4R,51465
H14-5R,51466
H14-6R,90421
H14-7R,90422
I06-1L,49797
I06-2L,49798
I06-3L,51575
I06-4L,51576
I06-5L,51577
I06-6L,90423
I06-7L,90424
I06-1R,49799
I06-2R,49800
I06-3R,51578
I06-4R,51579
I06-5R,51580
I06-6R,90425
I06-7R,90426
I07-1L,49801
I07-2L,49802
I07-3L,51581
I07-4L,51582
I07-5L,51583
I07-6L,90427
I07-7L,90428
I07-1R,49803
I07-2R,49804
I07-3R,51584
I07-4R,51585
I07-5R,51586
I07-6R,90429
I07-7R,90430
I08-1L,49805
I08-2L,49806
I08-3L,51587
I08-4L,51588
I08-5L,51589
I08-6L,90431
I08-7L,90432
I08-1R,49807
I08-2R,49808
I08-3R,51590
I08-4R,51591
I08-5R,51592
I08-6R,90433
I08-7R,90434
I09-1L,49809
I09-2L,49810
I09-3L,51593
I09-4L,51594
I09-5L,51595
I09-6L,90435
I09-7L,90436
I09-1R,49811
I09-2R,49812
I09-3R,51596
I09-4R,51597
I09-5R,51598
I09-6R,90437
I09-7R,90438
I10-1L,49813
I10-2L,49814
I10-3L,51599
I10-4L,51600
I10-5L,51601
I10-6L,90439
I10-7L,90440
I10-1R,49815
I10-2R,49816
I10-3R,51602
I10-4R,51603
I10-5R,51604
I10-6R,90441
I10-7R,90442
I11-1L,49817
I11-2L,49818
I11-3L,51605
I11-4L,51606
I11-5L,51607
I11-6L,90443
I11-7L,90444
I11-1R,49819
I11-2R,49820
I11-3R,51608
I11-4R,51609
I11-5R,51610
I11-6R,90445
I11-7R,90446
I12-1L,49821
I12-2L,49822
I12-3L,51611
I12-4L,51612
I12-5L,51613
I12-6L,90447
I12-7L,90448
I12-1R,49823
I12-2R,49824
I12-3R,51614
I12-4R,51615
I12-5R,51616
I12-6R,90449
I12-7R,90450
I13-1L,49825
I13-2L,49826
I13-3L,51617
I13-4L,51618
I13-5L,51619
I13-6L,90451
I13-7L,90452
I13-1R,49827
I13-2R,49828
I13-3R,51620
I13-4R,51621
I13-5R,51622
I13-6R,90453
I13-7R,90454
I14-1L,49829
I14-2L,49830
I14-3L,51623
I14-4L,51624
I14-5L,51625
I14-6L,90455
I14-7L,90456
I14-1R,49831
I14-2R,49832
I14-3R,51626
I14-4R,51627
I14-5R,51628
I14-6R,90457
I14-7R,90458
J06-1L,49865
J06-2L,49866
J06-3L,51677
J06-4L,51678
J06-5L,51679
J06-6L,90459
J06-7L,90460
J06-1R,49867
J06-2R,49868
J06-3R,51680
J06-4R,51681
J06-5R,51682
J06-6R,90461
J06-7R,90462
J07-1L,49861
J07-2L,49862
J07-3L,51671
J07-4L,51672
J07-5L,51673
J07-6L,90463
J07-7L,90464
J07-1R,49863
J07-2R,49864
J07-3R,51674
J07-4R,51675
J07-5R,51676
J07-6R,90465
J07-7R,90466
J08-1L,49857
J08-2L,49858
J08-3L,51665
J08-4L,51666
J08-5L,51667
J08-6L,90467
J08-7L,90468
J08-1R,49859
J08-2R,49860
J08-3R,51668
J08-4R,51669
J08-5R,51670
J08-6R,90469
J08-7R,90470
J09-1L,49853
J09-2L,49854
J09-3L,51659
J09-4L,51660
J09-5L,51661
J09-6L,90471
J09-7L,90472
J09-1R,49855
J09-2R,49856
J09-3R,51662
J09-4R,51663
J09-5R,51664
J09-6R,90473
J09-7R,90474
J10-1L,49849
J10-2L,49850
J10-3L,51653
J10-4L,51654
J10-5L,51655
J10-6L,90475
J10-7L,90476
J10-1R,49851
J10-2R,49852
J10-3R,51656
J10-4R,51657
J10-5R,51658
J10-6R,90477
J10-7R,90478
J11-1L,49845
J11-2L,49846
J11-3L,51647
J11-4L,51648
J11-5L,51649
J11-6L,90479
J11-7L,90480
J11-1R,49847
J11-2R,49848
J11-3R,51650
J11-4R,51651
J11-5R,51652
J11-6R,90481
J11-7R,90482
J12-1L,49841
J12-2L,49842
J12-3L,51641
J12-4L,51642
J12-5L,51643
J12-6L,90483
J12-7L,90484
J12-1R,49843
J12-2R,49844
J12-3R,51644
J12-4R,51645
J12-5R,51646
J12-6R,90485
J12-7R,90486
J13-1L,49837
J13-2L,49838
J13-3L,51635
J13-4L,51636
J13-5L,51637
J13-6L,90487
J13-7L,90488
J13-1R,49839
J13-2R,49840
J13-3R,51638
J13-4R,51639
J13-5R,51640
J13-6R,90489
J13-7R,90490
J14-1L,49833
J14-2L,49834
J14-3L,51629
J14-4L,51630
J14-5L,51631
J14-6L,90491
J14-7L,90492
J14-1R,49835
J14-2R,49836
J14-3R,51632
J14-4R,51633
J14-5R,51634
J14-6R,90493
J14-7R,90494
